School,Ward,Include in ML Model
Benjamin Banneker High School,6,No
School Without Walls High School,2,Yes
Washington Latin PCS - Upper School,4,No
McKinley Technology High School,5,No
Thurgood Marshall Academy PCS,8,No
Woodrow Wilson High School,3,Yes
Basis Dc Pcs,2,No
KIPP DC - College Preparatory PCS,8,No
Duke Ellington School of the Arts,2,No
Friendship PCS - Technology Preparatory High School,8,No
Columbia Heights Education Campus,1,No
Paul PCS - International High School,4,No
Capital City PCS - High School,4,No
Idea Pcs,7,No
Richard Wright PCS for Journalism and Media Arts,6,No
Phelps Architecture Construction and Engineering High School,5,No
E.L. Haynes PCS - High School,4,No
Cesar Chavez Public Charter Schools for Public Policy,7,No
Eastern High School,6,Yes
Friendship PCS - Collegiate Academy,8,No
SEED PCS of Washington DC,7,No
Roosevelt High School,4,Yes
Dunbar High School,5,Yes
Anacostia High School,8,Yes
Ballou High School,8,No
H.D. Woodson High School,7,Yes
Cardozo Education Campus,1,Yes
Coolidge High School,4,Yes
Maya Angelou PCS - High School,7,No
