bld_id,bathrm,saledate,landarea,longitude,latitude,fireplaces,rooms,price,priceprm,prime,Rank_(2018-19)
1,3,2016,1680,-77.04067788,38.91468351,4,9,2100000,233333.3,3.75,2
2,3,2006,1680,-77.04062899,38.91468254,3,8,1602000,200250,7.88,2
3,3,2010,2196,-77.03971453,38.91433108,4,10,1950000,195000,3.25,2
4,3,2011,1627,-77.04012874,38.9154077,1,8,1050000,131250,3.25,2
5,3,2018,1424,-77.03990344,38.91501736,1,7,1430000,204285.7,5.12,2
6,3,2011,1815,-77.03971585,38.91503805,1,5,1325000,265000,3.25,2
7,3,2010,1424,-77.03984429,38.9150181,0,8,1240000,155000,3.25,2
8,3,2001,1424,-77.04013809,38.91501863,1,9,592250,65805.6,6.77,2
9,3,2016,2090,-77.03377377,38.9113701,3,14,33232,2373.7,3.75,2
10,1,2006,2090,-77.03392492,38.91136808,0,6,907400,151233.3,7.88,2
11,2,2012,2090,-77.03397185,38.91136779,1,5,1065000,213000,3.25,2
12,2,2012,2090,-77.03407029,38.91131903,2,8,1100000,137500,3.25,2
13,1,1996,2090,-77.03415574,38.91133747,0,8,20000,2500,8.25,2
14,3,2013,1853,-77.03405099,38.91169919,3,11,1210000,110000,3.25,2
15,2,1999,1853,-77.03384576,38.9117097,3,6,130500,21750,8.25,2
16,2,1997,1853,-77.03336691,38.9117011,0,8,339500,42437.5,8.5,2
17,3,2006,1853,-77.03315557,38.91170629,0,9,1050000,116666.7,7.88,2
18,3,2016,1853,-77.03308685,38.91171027,2,9,1550000,172222.2,3.75,2
19,3,2015,1853,-77.0329501,38.91169563,2,9,1599900,177766.7,3.5,2
20,3,2018,1853,-77.0328838,38.91170384,3,13,1700000,130769.2,5.12,2
21,3,2017,1853,-77.03281462,38.91170567,2,10,1700000,170000,4.25,2
22,3,2001,1853,-77.03274429,38.91171623,0,10,450000,45000,6.77,2
23,3,2011,1971,-77.03267223,38.91171643,2,9,846000,94000,3.25,2
24,2,1999,1853,-77.03295117,38.91202434,0,8,348500,43562.5,8.25,2
25,2,2009,1853,-77.03322582,38.9120249,2,8,849000,106125,3.25,2
26,3,2006,1853,-77.03355869,38.9120194,2,5,1312000,262400,7.88,2
27,1,1997,1853,-77.0337049,38.9120416,0,4,390000,97500,8.5,2
28,3,2004,1853,-77.0337667,38.91202114,2,8,772500,96562.5,4.75,2
29,1,2010,374,-77.03505272,38.91474119,1,4,499000,124750,3.25,2
30,2,2000,456,-77.03498434,38.9147422,2,9,216000,24000,9.08,2
31,3,2002,1372,-77.0348454,38.91426921,2,8,636090,79511.2,4.25,2
32,3,2012,1400,-77.0348305,38.91279707,3,10,1255000,125500,3.25,2
33,3,2005,1400,-77.03495733,38.91279361,2,10,990000,99000,6.38,2
34,2,2007,791,-77.03822639,38.91601595,1,6,682500,113750,7.5,2
35,4,2014,814,-77.03822571,38.91604937,1,8,993500,124187.5,3.25,2
36,2,2009,838,-77.03822735,38.91608432,1,7,745000,106428.6,3.25,2
37,2,2005,1236,-77.03773306,38.91614835,2,11,848500,77136.4,6.38,2
38,2,1995,1185,-77.03776232,38.91611249,2,11,277000,25181.8,8.75,2
39,2,2013,1183,-77.03776518,38.91605339,2,11,1155000,105000,3.25,2
40,2,2017,1320,-77.03786325,38.9159549,2,11,1363000,123909.1,4.25,2
41,3,2010,1368,-77.03788941,38.91592138,2,11,1148000,104363.6,3.25,2
42,3,2005,1795,-77.03721308,38.9142865,0,9,900000,100000,6.38,2
43,2,2005,1700,-77.03751021,38.91426911,0,6,872000,145333.3,6.38,2
44,4,2015,1968,-77.037504,38.91538326,2,8,1925000,240625,3.5,2
45,2,1995,1062,-77.04844945,38.89716129,0,7,360000,51428.6,8.75,2
46,2,2014,1000,-77.0463724,38.91349607,2,7,1280000,182857.1,3.25,2
47,4,1997,2678,-77.04599075,38.91279384,3,11,750000,68181.8,8.5,2
48,4,2017,1224,-77.04644353,38.91276223,2,11,1844970,167724.5,4.25,2
49,3,2011,1960,-77.04570984,38.91130425,3,8,1680000,210000,3.25,2
50,2,2018,1620,-77.04568854,38.91170305,2,9,2150000,238888.9,5.12,2
